Product_ID,Product_Name,Brand,Category,Amazon_Product_Title,Amazon_Price,Status,Amazon_URL,Scrape_Date,Scrape_Time
P001,iPhone 17 Pro Max 1 TB,Apple ,Smartphone,"Apple iPhone 17 Pro Max 1 TB: 17.42 cm (6.9″) Display with Promotion, A19 Pro Chip, Best Battery Life in Any iPhone Ever, Pro Fusion Camera System, Center Stage Front Camera; Cosmic Orange",119900.0,Success,https://www.amazon.in/dp/B0FQFPHB1W,2026-07-12,12:11:59
P002,Samsung Galaxy S25,Samsung,Smartphone,"Samsung Galaxy S25 5G (Icyblue, 12GB RAM, 256GB Storage) | Snapdragon 8 Elite for Galaxy | 50MP Triple Camera | 12MP Front Camera | 6.2"" Full HD+ Display | 4000mAh Battery",69699.0,Success,https://www.amazon.in/Samsung-Icyblue-Storage-Snapdragon-Display/dp/B0H2J3PRKV,2026-07-12,12:12:08
P003,OnePlus 13 (256GB),OnePlus,Smartphone,OnePlus 13 | Smarter with OnePlus AI | Lifetime Display Warranty |12GB RAM 256GB Storage Midnight Ocean | Official Smartphone for BGMS 2025,57999.0,Success,https://www.amazon.in/OnePlus-13-256GB-Midnight-Ocean/dp/B0DPS7FB4J,2026-07-12,12:12:17
P004,Google Pixel 9a (256GB),Google,Smartphone,"Google Pixel 9A (Obsidian, 256 GB) (8 GB RAM)",44640.0,Success,https://www.amazon.in/Google-Pixel-Obsidian-256-RAM/dp/B0F6CY1S9Z,2026-07-12,12:12:26
P005,HP Victus i7,HP,Laptop,"HP Smartchoice Victus, 13th Gen i7-13620H, 6GB RTX 4050, 16GB DDR4(Upgradeable) 512GB SSD, 144Hz, 300nits, 15.6''/39.6cm, Win11, Office24, Mica Silver, 2.3kg, fa2100tx, Xbox Gamepass* Gaming Laptop",103990.0,Success,https://www.amazon.in/HP-Smartchoice-i7-13620H-Upgradeable-Office24/dp/B0FDKS93JV,2026-07-12,12:12:39
P006,Lenovo LOQ 2024 i5,Lenovo,Laptop,"Lenovo LOQ 2024, Intel Core i5-13450HX, 13th Gen, NVIDIA RTX 4050-6GB, 16GB RAM, 512GB SSD, FHD 144Hz, 15.6""/39.6cm, Windows 11, Office Home 2024, Grey, 2.4Kg, 83DV018JIN, 1Yr ADP Free Gaming Laptop",101990.0,Success,https://www.amazon.in/Lenovo-i5-13450HX-300Nits-Graphics-83DV007GIN/dp/B0D49W5KZP,2026-07-12,12:12:49
P007,boAt Airdopes 181,boAt,Earbuds,"boAt Airdopes 181 Pro TWS Earbuds with 100 Hours Playback, 4 Mics ENx Technology, Beast™ Mode, ASAP Charge, Bluetooth v5.3 (Mocha Elegance)",1499.0,Success,https://www.amazon.in/boAt-Airdopes-Playback-Technology-Bluetooth/dp/B0F9X4NPYN,2026-07-12,12:12:56
P008,Sony WH-CH520,Sony,Headphones,,,Failed,https://www.amazon.in/Sony-Bluetooth-Headphones-Multipoint-Connectivity/dp/B0BS1RT9S2,2026-07-12,12:13:32
P009,Logitech M331 Silent Plus,Logitech,Accessories,"Logitech M331 Silent Plus Wireless Mouse, 2.4GHz with USB Nano Receiver, 1000 DPI Optical Tracking, 3 Buttons, 24 Month Battery Life, PC/Mac/Laptop - Black",1295.0,Success,https://www.amazon.in/Logitech-Silent-Wireless-Mouse-Black/dp/B01MQ2A86A,2026-07-12,12:13:51
P010,Apple Watch SE GPS 40mm,Apple ,Smartwatch,,,Failed,https://www.amazon.in/Apple-Watch-Midnight-Aluminium-Sport/dp/B0FQFNRHQC,2026-07-12,12:14:30
